component,path,containers,webapp_count,resource_count,target_context,owner_role,owner_status
accounting,applications/accounting/ofbiz-component.xml,,3,28,accounting,finance-product-team,provisional-repository-inferred
commonext,applications/commonext/ofbiz-component.xml,,3,7,experience-platform,experience-platform-team,provisional-repository-inferred
content,applications/content/ofbiz-component.xml,,2,17,content-media,content-product-team,provisional-repository-inferred
datamodel,applications/datamodel/ofbiz-component.xml,,0,35,shared-legacy-data,data-migration-team,provisional-repository-inferred
humanres,applications/humanres/ofbiz-component.xml,,1,6,workforce,workforce-product-team,provisional-repository-inferred
manufacturing,applications/manufacturing/ofbiz-component.xml,,1,10,manufacturing,manufacturing-product-team,provisional-repository-inferred
marketing,applications/marketing/ofbiz-component.xml,,2,7,marketing-sales,marketing-product-team,provisional-repository-inferred
order,applications/order/ofbiz-component.xml,,1,21,order-management,order-product-team,provisional-repository-inferred
party,applications/party/ofbiz-component.xml,,1,11,party-customer,customer-product-team,provisional-repository-inferred
product,applications/product/ofbiz-component.xml,,2,32,product-catalog,catalog-product-team,provisional-repository-inferred
securityext,applications/securityext/ofbiz-component.xml,,0,1,identity-access,identity-platform-team,provisional-repository-inferred
workeffort,applications/workeffort/ofbiz-component.xml,,2,9,work-management,work-product-team,provisional-repository-inferred
base,framework/base/ofbiz-component.xml,naming-container;admin-container,0,0,legacy-platform,legacy-platform-team,provisional-repository-inferred
catalina,framework/catalina/ofbiz-component.xml,catalina-container;catalina-container-test,0,1,legacy-platform,legacy-platform-team,provisional-repository-inferred
common,framework/common/ofbiz-component.xml,,0,54,legacy-platform,legacy-platform-team,provisional-repository-inferred
datafile,framework/datafile/ofbiz-component.xml,,0,0,legacy-platform,legacy-platform-team,provisional-repository-inferred
entity,framework/entity/ofbiz-component.xml,delegator-container,0,3,legacy-platform,legacy-platform-team,provisional-repository-inferred
entityext,framework/entityext/ofbiz-component.xml,dataload-container,0,10,legacy-platform,legacy-platform-team,provisional-repository-inferred
minilang,framework/minilang/ofbiz-component.xml,,0,0,legacy-platform,legacy-platform-team,provisional-repository-inferred
@component-name@,framework/resources/templates/ofbiz-component.xml,,1,6,legacy-platform,legacy-platform-team,provisional-repository-inferred
rest-api,framework/rest-api/ofbiz-component.xml,,2,2,api-edge,platform-team,provisional-repository-inferred
security,framework/security/ofbiz-component.xml,,0,5,identity-access,identity-platform-team,provisional-repository-inferred
service,framework/service/ofbiz-component.xml,service-container;rmi-dispatcher,0,10,legacy-platform,legacy-platform-team,provisional-repository-inferred
testtools,framework/testtools/ofbiz-component.xml,testtools-container,0,4,legacy-platform,legacy-platform-team,provisional-repository-inferred
webapp,framework/webapp/ofbiz-component.xml,,0,1,legacy-platform,legacy-platform-team,provisional-repository-inferred
webtools,framework/webtools/ofbiz-component.xml,secret-audit-container,1,5,legacy-platform,legacy-platform-team,provisional-repository-inferred
widget,framework/widget/ofbiz-component.xml,,0,0,legacy-platform,legacy-platform-team,provisional-repository-inferred
bluelight,themes/bluelight/ofbiz-component.xml,,1,1,experience-platform,experience-platform-team,provisional-repository-inferred
common-theme,themes/common-theme/ofbiz-component.xml,,2,1,experience-platform,experience-platform-team,provisional-repository-inferred
flatgrey,themes/flatgrey/ofbiz-component.xml,,1,1,experience-platform,experience-platform-team,provisional-repository-inferred
helveticus,themes/helveticus/ofbiz-component.xml,,1,1,experience-platform,experience-platform-team,provisional-repository-inferred
rainbowstone,themes/rainbowstone/ofbiz-component.xml,,1,1,experience-platform,experience-platform-team,provisional-repository-inferred
tomahawk,themes/tomahawk/ofbiz-component.xml,,1,1,experience-platform,experience-platform-team,provisional-repository-inferred
