eca_type,source,event,actions,condition_count,source_file,target_context,owner_role,owner_status
entity,FinAccountTrans,return,updateFinAccountBalancesFromTrans,1,applications/accounting/entitydef/eecas.xml,accounting,finance-product-team,provisional-repository-inferred
entity,FinAccountAuth,return,updateFinAccountBalancesFromAuth,0,applications/accounting/entitydef/eecas.xml,accounting,finance-product-team,provisional-repository-inferred
service,createBudget,commit,createBudgetStatus,0,applications/accounting/servicedef/secas.xml,accounting,finance-product-team,provisional-repository-inferred
service,createPaymentApplication,commit,checkInvoicePaymentApplications,1,applications/accounting/servicedef/secas.xml,accounting,finance-product-team,provisional-repository-inferred
service,createPartyPostalAddress,commit,setPaymentMethodAddress,1,applications/accounting/servicedef/secas.xml,accounting,finance-product-team,provisional-repository-inferred
service,updatePostalAddress,return,updatePaymentMethodAddress,0,applications/accounting/servicedef/secas.xml,accounting,finance-product-team,provisional-repository-inferred
service,createBillingAccountRole,invoke,ensurePartyRole,2,applications/accounting/servicedef/secas.xml,accounting,finance-product-team,provisional-repository-inferred
service,createCreditCard,in-validate,buildCcExpireDate,2,applications/accounting/servicedef/secas.xml,accounting,finance-product-team,provisional-repository-inferred
service,updateCreditCard,in-validate,buildCcExpireDate,2,applications/accounting/servicedef/secas.xml,accounting,finance-product-team,provisional-repository-inferred
service,createCreditCard,commit,verifyCreditCard,0,applications/accounting/servicedef/secas.xml,accounting,finance-product-team,provisional-repository-inferred
service,updateCreditCard,commit,verifyCreditCard,1,applications/accounting/servicedef/secas.xml,accounting,finance-product-team,provisional-repository-inferred
service,createCreditCardAndAddress,in-validate,buildCcExpireDate,2,applications/accounting/servicedef/secas.xml,accounting,finance-product-team,provisional-repository-inferred
service,updateCreditCardAndAddress,in-validate,buildCcExpireDate,2,applications/accounting/servicedef/secas.xml,accounting,finance-product-team,provisional-repository-inferred
service,createGiftCard,in-validate,buildCcExpireDate,2,applications/accounting/servicedef/secas.xml,accounting,finance-product-team,provisional-repository-inferred
service,updateGiftCard,in-validate,buildCcExpireDate,2,applications/accounting/servicedef/secas.xml,accounting,finance-product-team,provisional-repository-inferred
service,authOrderPayments,global-rollback,releaseOrderPayments,0,applications/accounting/servicedef/secas.xml,accounting,finance-product-team,provisional-repository-inferred
service,retryFailedOrderAuth,commit,sendOrderPayRetryNotification,1,applications/accounting/servicedef/secas.xml,accounting,finance-product-team,provisional-repository-inferred
service,createBudgetRole,invoke,ensurePartyRole,0,applications/accounting/servicedef/secas.xml,accounting,finance-product-team,provisional-repository-inferred
service,createFinAccountRole,invoke,ensurePartyRole,0,applications/accounting/servicedef/secas.xml,accounting,finance-product-team,provisional-repository-inferred
service,finAccountWithdraw,return,finAccountReplenish,1,applications/accounting/servicedef/secas.xml,accounting,finance-product-team,provisional-repository-inferred
service,updateFinAccount,commit,finAccountReplenish,2,applications/accounting/servicedef/secas.xml,accounting,finance-product-team,provisional-repository-inferred
service,updateFinAccount,commit,finAccountReplenish,2,applications/accounting/servicedef/secas.xml,accounting,finance-product-team,provisional-repository-inferred
service,createFinAccountTrans,commit,postFinAccountTransToGl,1,applications/accounting/servicedef/secas.xml,accounting,finance-product-team,provisional-repository-inferred
service,createProduct,commit,createFixedAssetAndLinkToProduct,1,applications/accounting/servicedef/secas.xml,accounting,finance-product-team,provisional-repository-inferred
service,createPartyAcctgPreference,return,setAcctgCompany,0,applications/accounting/servicedef/secas.xml,accounting,finance-product-team,provisional-repository-inferred
service,createFixedAssetMeter,commit,createMaintsFromMeterReading,0,applications/accounting/servicedef/secas.xml,accounting,finance-product-team,provisional-repository-inferred
service,updateFixedAssetMeter,commit,createMaintsFromMeterReading,0,applications/accounting/servicedef/secas.xml,accounting,finance-product-team,provisional-repository-inferred
service,updateAcctgTrans,invoke,checkAcctgTransPosted,0,applications/accounting/servicedef/secas.xml,accounting,finance-product-team,provisional-repository-inferred
service,deleteAcctgTrans,invoke,checkAcctgTransPosted,0,applications/accounting/servicedef/secas.xml,accounting,finance-product-team,provisional-repository-inferred
service,cancelInvoice,invoke,revertAcctgTransOnCancelInvoice,0,applications/accounting/servicedef/secas_invoice.xml,accounting,finance-product-team,provisional-repository-inferred
service,cancelInvoice,commit,removeInvoiceItemAssocOnCancelInvoice,1,applications/accounting/servicedef/secas_invoice.xml,accounting,finance-product-team,provisional-repository-inferred
service,cancelInvoice,commit,resetOrderItemBillingAndOrderAdjustmentBillingOnCancelInvoice,0,applications/accounting/servicedef/secas_invoice.xml,accounting,finance-product-team,provisional-repository-inferred
