entity,kind,package,title,source_file,target_context,owner_role,owner_status
InvoiceItemProductSummary,view-entity,org.apache.ofbiz.accounting.reports,,applications/accounting/entitydef/entitymodel_reports.xml,accounting,finance-product-team,provisional-repository-inferred
InvoiceItemCategorySummary,view-entity,org.apache.ofbiz.accounting.reports,,applications/accounting/entitydef/entitymodel_reports.xml,accounting,finance-product-team,provisional-repository-inferred
InvoiceExport,view-entity,org.apache.ofbiz.accounting.reports,,applications/accounting/entitydef/entitymodel_reports.xml,accounting,finance-product-team,provisional-repository-inferred
Budget,entity,org.apache.ofbiz.accounting.budget,Budget,applications/datamodel/entitydef/accounting-entitymodel.xml,accounting,finance-product-team,provisional-repository-inferred
BudgetAttribute,entity,org.apache.ofbiz.accounting.budget,Budget Attribute,applications/datamodel/entitydef/accounting-entitymodel.xml,accounting,finance-product-team,provisional-repository-inferred
BudgetItem,entity,org.apache.ofbiz.accounting.budget,Budget Item,applications/datamodel/entitydef/accounting-entitymodel.xml,accounting,finance-product-team,provisional-repository-inferred
BudgetItemAttribute,entity,org.apache.ofbiz.accounting.budget,Budget Item Attribute,applications/datamodel/entitydef/accounting-entitymodel.xml,accounting,finance-product-team,provisional-repository-inferred
BudgetItemType,entity,org.apache.ofbiz.accounting.budget,Budget Item Type,applications/datamodel/entitydef/accounting-entitymodel.xml,accounting,finance-product-team,provisional-repository-inferred
BudgetItemTypeAttr,entity,org.apache.ofbiz.accounting.budget,Budget Item Type Attribute,applications/datamodel/entitydef/accounting-entitymodel.xml,accounting,finance-product-team,provisional-repository-inferred
BudgetReview,entity,org.apache.ofbiz.accounting.budget,Budget Review,applications/datamodel/entitydef/accounting-entitymodel.xml,accounting,finance-product-team,provisional-repository-inferred
BudgetReviewResultType,entity,org.apache.ofbiz.accounting.budget,Budget Review Result Type,applications/datamodel/entitydef/accounting-entitymodel.xml,accounting,finance-product-team,provisional-repository-inferred
BudgetRevision,entity,org.apache.ofbiz.accounting.budget,Budget Revision,applications/datamodel/entitydef/accounting-entitymodel.xml,accounting,finance-product-team,provisional-repository-inferred
BudgetRevisionImpact,entity,org.apache.ofbiz.accounting.budget,Budget Revision Impact,applications/datamodel/entitydef/accounting-entitymodel.xml,accounting,finance-product-team,provisional-repository-inferred
BudgetRole,entity,org.apache.ofbiz.accounting.budget,Budget Role,applications/datamodel/entitydef/accounting-entitymodel.xml,accounting,finance-product-team,provisional-repository-inferred
BudgetScenario,entity,org.apache.ofbiz.accounting.budget,Budget Scenario,applications/datamodel/entitydef/accounting-entitymodel.xml,accounting,finance-product-team,provisional-repository-inferred
BudgetScenarioApplication,entity,org.apache.ofbiz.accounting.budget,Budget Scenario Application,applications/datamodel/entitydef/accounting-entitymodel.xml,accounting,finance-product-team,provisional-repository-inferred
BudgetScenarioRule,entity,org.apache.ofbiz.accounting.budget,Budget Scenario Rule,applications/datamodel/entitydef/accounting-entitymodel.xml,accounting,finance-product-team,provisional-repository-inferred
BudgetStatus,entity,org.apache.ofbiz.accounting.budget,Budget Status,applications/datamodel/entitydef/accounting-entitymodel.xml,accounting,finance-product-team,provisional-repository-inferred
BudgetType,entity,org.apache.ofbiz.accounting.budget,Budget Type,applications/datamodel/entitydef/accounting-entitymodel.xml,accounting,finance-product-team,provisional-repository-inferred
BudgetTypeAttr,entity,org.apache.ofbiz.accounting.budget,Budget Type Attribute,applications/datamodel/entitydef/accounting-entitymodel.xml,accounting,finance-product-team,provisional-repository-inferred
FinAccount,entity,org.apache.ofbiz.accounting.finaccount,Financial Account,applications/datamodel/entitydef/accounting-entitymodel.xml,accounting,finance-product-team,provisional-repository-inferred
FinAccountAndRole,view-entity,org.apache.ofbiz.accounting.finaccount,Financial Account and Role View,applications/datamodel/entitydef/accounting-entitymodel.xml,accounting,finance-product-team,provisional-repository-inferred
FinAccountAttribute,entity,org.apache.ofbiz.accounting.finaccount,Financial Account Attribute,applications/datamodel/entitydef/accounting-entitymodel.xml,accounting,finance-product-team,provisional-repository-inferred
FinAccountAuth,entity,org.apache.ofbiz.accounting.finaccount,Financial Account Authorizations record,applications/datamodel/entitydef/accounting-entitymodel.xml,accounting,finance-product-team,provisional-repository-inferred
FinAccountRole,entity,org.apache.ofbiz.accounting.finaccount,Financial Account Role,applications/datamodel/entitydef/accounting-entitymodel.xml,accounting,finance-product-team,provisional-repository-inferred
FinAccountStatus,entity,org.apache.ofbiz.accounting.finaccount,Financial Account Status,applications/datamodel/entitydef/accounting-entitymodel.xml,accounting,finance-product-team,provisional-repository-inferred
FinAccountTrans,entity,org.apache.ofbiz.accounting.finaccount,Financial Account Transaction,applications/datamodel/entitydef/accounting-entitymodel.xml,accounting,finance-product-team,provisional-repository-inferred
FinAccountTransAttribute,entity,org.apache.ofbiz.accounting.finaccount,Financial Account Transaction Attribute,applications/datamodel/entitydef/accounting-entitymodel.xml,accounting,finance-product-team,provisional-repository-inferred
FinAccountTransType,entity,org.apache.ofbiz.accounting.finaccount,Financial Account Transaction Type,applications/datamodel/entitydef/accounting-entitymodel.xml,accounting,finance-product-team,provisional-repository-inferred
FinAccountTransTypeAttr,entity,org.apache.ofbiz.accounting.finaccount,Financial Account Transaction Type Attribute,applications/datamodel/entitydef/accounting-entitymodel.xml,accounting,finance-product-team,provisional-repository-inferred
FinAccountType,entity,org.apache.ofbiz.accounting.finaccount,Financial Account Type,applications/datamodel/entitydef/accounting-entitymodel.xml,accounting,finance-product-team,provisional-repository-inferred
FinAccountTypeAttr,entity,org.apache.ofbiz.accounting.finaccount,Financial Account Type Attribute,applications/datamodel/entitydef/accounting-entitymodel.xml,accounting,finance-product-team,provisional-repository-inferred
FinAccountTypeGlAccount,entity,org.apache.ofbiz.accounting.finaccount,Financial Account Type GL Account,applications/datamodel/entitydef/accounting-entitymodel.xml,accounting,finance-product-team,provisional-repository-inferred
FinAccountTransSum,view-entity,org.apache.ofbiz.accounting.finaccount,Financial Account Transactio Sum,applications/datamodel/entitydef/accounting-entitymodel.xml,accounting,finance-product-team,provisional-repository-inferred
