route,mount_point,request_uri,https,auth,event_type,event_target,responses,source_file,target_context,owner_role,owner_status
/accounting/control/view,/accounting,view,true,false,,,success:request:main,applications/accounting/webapp/accounting/WEB-INF/controller.xml,accounting,finance-product-team,provisional-repository-inferred
/accounting/control/main,/accounting,main,true,true,,,success:view:main,applications/accounting/webapp/accounting/WEB-INF/controller.xml,accounting,finance-product-team,provisional-repository-inferred
/accounting/control/FindBillingAccount,/accounting,FindBillingAccount,true,true,,,success:view:FindBillingAccount,applications/accounting/webapp/accounting/WEB-INF/controller.xml,accounting,finance-product-team,provisional-repository-inferred
/accounting/control/EditBillingAccount,/accounting,EditBillingAccount,true,true,,,success:view:EditBillingAccount,applications/accounting/webapp/accounting/WEB-INF/controller.xml,accounting,finance-product-team,provisional-repository-inferred
/accounting/control/createBillingAccount,/accounting,createBillingAccount,true,true,service,createBillingAccount,success:view:EditBillingAccount;error:view:EditBillingAccount,applications/accounting/webapp/accounting/WEB-INF/controller.xml,accounting,finance-product-team,provisional-repository-inferred
/accounting/control/createBillingAccountAndRole,/accounting,createBillingAccountAndRole,true,true,service,createBillingAccountAndRole,success:view:EditBillingAccount;error:view:EditBillingAccount,applications/accounting/webapp/accounting/WEB-INF/controller.xml,accounting,finance-product-team,provisional-repository-inferred
/accounting/control/updateBillingAccount,/accounting,updateBillingAccount,true,true,service,updateBillingAccount,success:view:EditBillingAccount;error:view:EditBillingAccount,applications/accounting/webapp/accounting/WEB-INF/controller.xml,accounting,finance-product-team,provisional-repository-inferred
/accounting/control/EditBillingAccountRoles,/accounting,EditBillingAccountRoles,true,true,,,success:view:EditBillingAccountRoles,applications/accounting/webapp/accounting/WEB-INF/controller.xml,accounting,finance-product-team,provisional-repository-inferred
/accounting/control/createBillingAccountRole,/accounting,createBillingAccountRole,true,true,service,createBillingAccountRole,success:view:EditBillingAccountRoles;error:view:EditBillingAccountRoles,applications/accounting/webapp/accounting/WEB-INF/controller.xml,accounting,finance-product-team,provisional-repository-inferred
/accounting/control/updateBillingAccountRole,/accounting,updateBillingAccountRole,true,true,service,updateBillingAccountRole,success:view:EditBillingAccountRoles;error:view:EditBillingAccountRoles,applications/accounting/webapp/accounting/WEB-INF/controller.xml,accounting,finance-product-team,provisional-repository-inferred
/accounting/control/deleteBillingAccountRole,/accounting,deleteBillingAccountRole,true,true,service,removeBillingAccountRole,success:view:EditBillingAccountRoles;error:view:EditBillingAccountRoles,applications/accounting/webapp/accounting/WEB-INF/controller.xml,accounting,finance-product-team,provisional-repository-inferred
/accounting/control/EditBillingAccountTerms,/accounting,EditBillingAccountTerms,true,true,,,success:view:EditBillingAccountTerms,applications/accounting/webapp/accounting/WEB-INF/controller.xml,accounting,finance-product-team,provisional-repository-inferred
/accounting/control/createBillingAccountTerm,/accounting,createBillingAccountTerm,true,true,service,createBillingAccountTerm,success:view:EditBillingAccountTerms,applications/accounting/webapp/accounting/WEB-INF/controller.xml,accounting,finance-product-team,provisional-repository-inferred
/accounting/control/updateBillingAccountTerm,/accounting,updateBillingAccountTerm,true,true,service,updateBillingAccountTerm,success:view:EditBillingAccountTerms,applications/accounting/webapp/accounting/WEB-INF/controller.xml,accounting,finance-product-team,provisional-repository-inferred
/accounting/control/removeBillingAccountTerm,/accounting,removeBillingAccountTerm,true,true,service,removeBillingAccountTerm,success:view:EditBillingAccountTerms,applications/accounting/webapp/accounting/WEB-INF/controller.xml,accounting,finance-product-team,provisional-repository-inferred
/accounting/control/BillingAccountInvoices,/accounting,BillingAccountInvoices,true,true,,,success:view:BillingAccountInvoices,applications/accounting/webapp/accounting/WEB-INF/controller.xml,accounting,finance-product-team,provisional-repository-inferred
/accounting/control/capturePaymentsByInvoice,/accounting,capturePaymentsByInvoice,true,true,service,capturePaymentsByInvoice,success:view:BillingAccountInvoices,applications/accounting/webapp/accounting/WEB-INF/controller.xml,accounting,finance-product-team,provisional-repository-inferred
/accounting/control/BillingAccountPayments,/accounting,BillingAccountPayments,true,true,,,success:view:BillingAccountPayments,applications/accounting/webapp/accounting/WEB-INF/controller.xml,accounting,finance-product-team,provisional-repository-inferred
/accounting/control/BillingAccountOrders,/accounting,BillingAccountOrders,true,true,,,success:view:BillingAccountOrders,applications/accounting/webapp/accounting/WEB-INF/controller.xml,accounting,finance-product-team,provisional-repository-inferred
/accounting/control/createPaymentAndAssociateToBillingAccount,/accounting,createPaymentAndAssociateToBillingAccount,true,true,service,createPaymentAndApplication,success:view:BillingAccountPayments,applications/accounting/webapp/accounting/WEB-INF/controller.xml,accounting,finance-product-team,provisional-repository-inferred
/accounting/control/findInvoices,/accounting,findInvoices,true,true,,,success:view:findInvoices,applications/accounting/webapp/accounting/WEB-INF/controller.xml,accounting,finance-product-team,provisional-repository-inferred
/accounting/control/viewInvoice,/accounting,viewInvoice,true,true,,,success:view:ViewInvoice,applications/accounting/webapp/accounting/WEB-INF/controller.xml,accounting,finance-product-team,provisional-repository-inferred
/accounting/control/newInvoice,/accounting,newInvoice,true,true,,,success:view:newInvoice,applications/accounting/webapp/accounting/WEB-INF/controller.xml,accounting,finance-product-team,provisional-repository-inferred
/accounting/control/editInvoice,/accounting,editInvoice,true,true,,,success:view:editInvoice,applications/accounting/webapp/accounting/WEB-INF/controller.xml,accounting,finance-product-team,provisional-repository-inferred
/accounting/control/createInvoice,/accounting,createInvoice,true,true,service,createInvoice,success:request:editInvoice;error:view:newInvoice,applications/accounting/webapp/accounting/WEB-INF/controller.xml,accounting,finance-product-team,provisional-repository-inferred
/accounting/control/copyInvoice,/accounting,copyInvoice,true,true,service,copyInvoice,success:view:ViewInvoice;error:view:ViewInvoice,applications/accounting/webapp/accounting/WEB-INF/controller.xml,accounting,finance-product-team,provisional-repository-inferred
/accounting/control/updateInvoice,/accounting,updateInvoice,true,true,service,updateInvoice,success:view:editInvoice;error:view:editInvoice,applications/accounting/webapp/accounting/WEB-INF/controller.xml,accounting,finance-product-team,provisional-repository-inferred
/accounting/control/listInvoiceItems,/accounting,listInvoiceItems,true,true,,,success:view:listInvoiceItems,applications/accounting/webapp/accounting/WEB-INF/controller.xml,accounting,finance-product-team,provisional-repository-inferred
/accounting/control/createInvoiceItem,/accounting,createInvoiceItem,true,true,service,createInvoiceItem,success:view:listInvoiceItems;error:view:listInvoiceItems,applications/accounting/webapp/accounting/WEB-INF/controller.xml,accounting,finance-product-team,provisional-repository-inferred
/accounting/control/createInvoiceItemPayrol,/accounting,createInvoiceItemPayrol,true,true,groovy,component://accounting/src/main/groovy/org/apache/ofbiz/accounting/invoice/InvoiceEvents.groovy:createInvoiceItemPayrol,success:view:listInvoiceItems;error:view:listInvoiceItems,applications/accounting/webapp/accounting/WEB-INF/controller.xml,accounting,finance-product-team,provisional-repository-inferred
