job_id,job_name,service,run_time,schedule_expression,pool,run_as,source_file,target_context,owner_role,owner_status
8500,Generate Invoice template,autoGenerateInvoiceFromExistingInvoice,2008-05-14 00:00:00.000,,pool,system,applications/accounting/data/AccountingScheduledServiceData.xml,accounting,finance-product-team,provisional-repository-inferred
9000,Auto Reconcile Financial Account,autoFinAccountReconciliation,2000-01-01 00:00:00.000,,pool,system,applications/accounting/data/AccountingScheduledServiceData.xml,accounting,finance-product-team,provisional-repository-inferred
FAM_AUTO_CREATE,Auto-create Fixed Asset Maintenances,createMaintsFromTimeInterval,2000-01-01 00:00:00.000,FAM_AUTO_CREATE,pool,system,applications/accounting/data/AccountingScheduledServiceData.xml,accounting,finance-product-team,provisional-repository-inferred
FUTURE_PERIOD,Create Future Period,createFuturePeriod,2000-01-01 00:00:00.000,1ST_AND_15TH_MONTH,pool,system,applications/accounting/data/ScheduledServicesDemoData.xml,accounting,finance-product-team,provisional-repository-inferred
8400,Init BOM Low Level Codes,initLowLevelCode,2000-01-01 00:00:00.000,,pool,system,applications/manufacturing/data/ManufacturingScheduledServices.xml,manufacturing,manufacturing-product-team,provisional-repository-inferred
8401,Calculate product costs,calculateAllProductsCosts,2000-01-01 00:00:00.000,,pool,system,applications/manufacturing/data/ManufacturingScheduledServices.xml,manufacturing,manufacturing-product-team,provisional-repository-inferred
8402,Nightly Inventory Reconciliation,reconcileInventoryForProductionJobs,2000-01-01 00:00:00.000,,pool,system,applications/manufacturing/data/ManufacturingScheduledServices.xml,manufacturing,manufacturing-product-team,provisional-repository-inferred
8000,BackOrder Notification,checkInventoryAvailability,2000-01-01 00:00:00.000,MIDNIGHT_DAILY,pool,system,applications/order/data/OrderScheduledServices.xml,order-management,order-product-team,provisional-repository-inferred
8001,Re-Try Failed Auths,retryFailedAuths,2000-01-01 01:00:00.000,MIDNIGHT_DAILY,pool,system,applications/order/data/OrderScheduledServices.xml,order-management,order-product-team,provisional-repository-inferred
8003,Run Auto-Reorders,runShoppingListAutoReorder,2000-01-01 03:00:00.000,MIDNIGHT_DAILY,pool,system,applications/order/data/OrderScheduledServices.xml,order-management,order-product-team,provisional-repository-inferred
8004,Re-Try Failed Auths NSF,retryFailedAuthNsfs,2000-01-01 01:00:00.000,MIDNIGHT_DAILY,pool,system,applications/order/data/OrderScheduledServices.xml,order-management,order-product-team,provisional-repository-inferred
8005,Extend expired Subscriptions,runSubscriptionAutoReorders,2000-01-01 03:00:00.000,MIDNIGHT_DAILY,pool,system,applications/order/data/OrderScheduledServices.xml,order-management,order-product-team,provisional-repository-inferred
8006,Cancels all orders after date,cancelAllBackOrders,2009-12-03 03:00:00.000,MIDNIGHT_DAILY,pool,system,applications/order/data/OrderScheduledServices.xml,order-management,order-product-team,provisional-repository-inferred
8007,Replacement Held Order Auto-Cancel,autoCancelReplacementOrders,2000-01-01 00:00:00.000,MIDNIGHT_DAILY,pool,system,applications/order/data/OrderScheduledServices.xml,order-management,order-product-team,provisional-repository-inferred
8008,Create Also Bought Product Associations,createAlsoBoughtProductAssocs,2000-01-01 00:00:00.000,MIDNIGHT_DAILY,pool,system,applications/order/data/OrderScheduledServices.xml,order-management,order-product-team,provisional-repository-inferred
8009,Delete auto-save shopping list for anonymous users,autoDeleteAutoSaveShoppingList,2000-01-01 00:00:00.000,MIDNIGHT_DAILY,pool,system,applications/order/data/OrderScheduledServices.xml,order-management,order-product-team,provisional-repository-inferred
8010,Run Nominated Service on Subscription Expiry,runServiceOnSubscriptionExpiry,2014-04-21 00:00:00.000,MIDNIGHT_DAILY,pool,system,applications/order/data/OrderScheduledServices.xml,order-management,order-product-team,provisional-repository-inferred
8100,Purge Old Store Auto-Entered Promos,purgeOldStoreAutoPromos,2000-01-01 00:00:00.000,MIDNIGHT_DAILY,pool,system,applications/product/data/ProductScheduledServices.xml,product-catalog,catalog-product-team,provisional-repository-inferred
8200,Clear EntitySyncRemove Info,cleanSyncRemoveInfo,2000-01-01 00:00:00.000,MIDNIGHT_DAILY,pool,system,framework/entityext/data/EntityScheduledServices.xml,legacy-platform,legacy-platform-team,provisional-repository-inferred
TESTREPORT_PURGE,Purge old test report runs,purgeOldTestReports,2020-01-01 23:30:00.000,TESTREPORT_2330,pool,system,framework/testtools/data/TestReportsScheduledServiceData.xml,legacy-platform,legacy-platform-team,provisional-repository-inferred
SECRET_AUTOSYNC,Auto-sync rotated secrets (SystemProperty),autoSyncRotatedSecrets,2000-01-01 00:00:00.000,SECRET_AUTOSYNC,pool,system,framework/webtools/data/SecretManagerScheduledServiceData.xml,legacy-platform,legacy-platform-team,provisional-repository-inferred
SECRET_AUDIT_PURGE,Purge expired SecretAuditLog rows,purgeExpiredSecretAuditLogs,2000-01-02 02:00:00.000,SECRET_AUDIT_PURGE,pool,system,framework/webtools/data/SecretManagerScheduledServiceData.xml,legacy-platform,legacy-platform-team,provisional-repository-inferred
