service,engine,location,invoke,default_entity,auth,export,source_file,target_context,owner_role,owner_status
createPartyAcctgPreference,groovy,component://accounting/src/main/groovy/org/apache/ofbiz/accounting/admin/AcctgAdminServices.groovy,createPartyAcctgPreference,PartyAcctgPreference,true,,applications/accounting/servicedef/services_admin.xml,accounting,finance-product-team,provisional-repository-inferred
updatePartyAcctgPreference,entity-auto,,update,PartyAcctgPreference,true,,applications/accounting/servicedef/services_admin.xml,accounting,finance-product-team,provisional-repository-inferred
createPartyPrefDocTypeTpl,entity-auto,,create,PartyPrefDocTypeTpl,true,,applications/accounting/servicedef/services_admin.xml,accounting,finance-product-team,provisional-repository-inferred
expirePartyPrefDocTypeTpl,entity-auto,,expire,PartyPrefDocTypeTpl,true,,applications/accounting/servicedef/services_admin.xml,accounting,finance-product-team,provisional-repository-inferred
getPartyAccountingPreferences,groovy,component://accounting/src/main/groovy/org/apache/ofbiz/accounting/admin/AcctgAdminServices.groovy,getPartyAccountingPreferences,PartyAcctgPreference,true,,applications/accounting/servicedef/services_admin.xml,accounting,finance-product-team,provisional-repository-inferred
setAcctgCompany,groovy,component://accounting/src/main/groovy/org/apache/ofbiz/accounting/admin/AcctgAdminServices.groovy,setAcctgCompany,,true,,applications/accounting/servicedef/services_admin.xml,accounting,finance-product-team,provisional-repository-inferred
updateFXConversion,groovy,component://accounting/src/main/groovy/org/apache/ofbiz/accounting/admin/AcctgAdminServices.groovy,updateFXConversion,,,,applications/accounting/servicedef/services_admin.xml,accounting,finance-product-team,provisional-repository-inferred
createGlAccountTypeDefault,entity-auto,,create,GlAccountTypeDefault,true,,applications/accounting/servicedef/services_admin.xml,accounting,finance-product-team,provisional-repository-inferred
removeGlAccountTypeDefault,entity-auto,,delete,GlAccountTypeDefault,true,,applications/accounting/servicedef/services_admin.xml,accounting,finance-product-team,provisional-repository-inferred
addInvoiceItemTypeGlAssignment,entity-auto,,create,InvoiceItemTypeGlAccount,true,,applications/accounting/servicedef/services_admin.xml,accounting,finance-product-team,provisional-repository-inferred
removeInvoiceItemTypeGlAssignment,entity-auto,,delete,InvoiceItemTypeGlAccount,true,,applications/accounting/servicedef/services_admin.xml,accounting,finance-product-team,provisional-repository-inferred
addPaymentTypeGlAssignment,entity-auto,,create,PaymentGlAccountTypeMap,true,,applications/accounting/servicedef/services_admin.xml,accounting,finance-product-team,provisional-repository-inferred
removePaymentTypeGlAssignment,entity-auto,,delete,PaymentGlAccountTypeMap,true,,applications/accounting/servicedef/services_admin.xml,accounting,finance-product-team,provisional-repository-inferred
addPaymentMethodTypeGlAssignment,entity-auto,,create,PaymentMethodTypeGlAccount,true,,applications/accounting/servicedef/services_admin.xml,accounting,finance-product-team,provisional-repository-inferred
removePaymentMethodTypeGlAssignment,entity-auto,,delete,PaymentMethodTypeGlAccount,true,,applications/accounting/servicedef/services_admin.xml,accounting,finance-product-team,provisional-repository-inferred
getFXConversion,groovy,component://accounting/src/main/groovy/org/apache/ofbiz/accounting/admin/AcctgAdminServices.groovy,getFXConversion,,,,applications/accounting/servicedef/services_admin.xml,accounting,finance-product-team,provisional-repository-inferred
