component,name,mount_point,location,source_file,base_permission,target_context,owner_role,owner_status
accounting,accounting,/accounting,/Users/denis.troller/repos/ofbiz-framework-sonar/applications/accounting/webapp/accounting,applications/accounting/ofbiz-component.xml,"OFBTOOLS,ACCOUNTING",accounting,finance-product-team,provisional-repository-inferred
accounting,ap,/ap,/Users/denis.troller/repos/ofbiz-framework-sonar/applications/accounting/webapp/ap,applications/accounting/ofbiz-component.xml,"OFBTOOLS,ACCOUNTING",accounting,finance-product-team,provisional-repository-inferred
accounting,ar,/ar,/Users/denis.troller/repos/ofbiz-framework-sonar/applications/accounting/webapp/ar,applications/accounting/ofbiz-component.xml,"OFBTOOLS,ACCOUNTING",accounting,finance-product-team,provisional-repository-inferred
commonext,common-js,/common-js,/Users/denis.troller/repos/ofbiz-framework-sonar/applications/commonext/webapp/common-js,applications/commonext/ofbiz-component.xml,,experience-platform,experience-platform-team,provisional-repository-inferred
commonext,ofbizsetup,/ofbizsetup,/Users/denis.troller/repos/ofbiz-framework-sonar/applications/commonext/webapp/ofbizsetup,applications/commonext/ofbiz-component.xml,"OFBTOOLS,SETUP",experience-platform,experience-platform-team,provisional-repository-inferred
commonext,ordermgr-js,/ordermgr-js,/Users/denis.troller/repos/ofbiz-framework-sonar/applications/commonext/webapp/ordermgr-js,applications/commonext/ofbiz-component.xml,,experience-platform,experience-platform-team,provisional-repository-inferred
content,content,/content,/Users/denis.troller/repos/ofbiz-framework-sonar/applications/content/webapp/content,applications/content/ofbiz-component.xml,"OFBTOOLS,CONTENTMGR",content-media,content-product-team,provisional-repository-inferred
content,contentimages,/contentimages/,/Users/denis.troller/repos/ofbiz-framework-sonar/applications/content/webapp/contentimages,applications/content/ofbiz-component.xml,,content-media,content-product-team,provisional-repository-inferred
humanres,humanres,/humanres,/Users/denis.troller/repos/ofbiz-framework-sonar/applications/humanres/webapp/humanres,applications/humanres/ofbiz-component.xml,"OFBTOOLS,HUMANRES",workforce,workforce-product-team,provisional-repository-inferred
manufacturing,manufacturing,/manufacturing,/Users/denis.troller/repos/ofbiz-framework-sonar/applications/manufacturing/webapp/manufacturing,applications/manufacturing/ofbiz-component.xml,"OFBTOOLS,MANUFACTURING",manufacturing,manufacturing-product-team,provisional-repository-inferred
marketing,SalesForceAutomation,/sfa,/Users/denis.troller/repos/ofbiz-framework-sonar/applications/marketing/webapp/sfa,applications/marketing/ofbiz-component.xml,"OFBTOOLS,SFA",marketing-sales,marketing-product-team,provisional-repository-inferred
